INDEX,Street Name,Limit 1,Limit 2,Full Location Names 2023,Facility Type,Ped_Total,Ped_Female_Total,Ped_Male_Total,Ped_MobAssist_Total,Ped_Stroller_Total,Ped_Weekday_Total,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female_Total,Bike_Male_Total,Bike_Sidewalk_Total,Bike_ContraFlow_Total,Bike_Helmet_Total,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female_Total,Scooter_Male_Total,Scooter_Sidewalk_Total,Scooter_ContraFlow_Total,Scooter_Helmet_Total,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female_Total,Other_Male_Total,Other_Sidewalk_Total,Other_ContraFlow_Total,Other_Helmet_Total,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Latitude,Longitude
23-21,Figueroa St,Avenue 44,Avenue 45,Figueroa St bw Avenue 44 & Avenue 45,None,419,203,216,4,19,315,158,157,3,17,104,45,59,1,2,69,7,62,31,4,29,50,4,46,19,4,18,19,3,16,12,0,11,11,0,11,8,0,3,10,0,10,7,0,3,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,34.095503,-118.207694
23-23,Fletcher Dr,San Fernando Rd,Avenue 32,Fletcher Dr bw San Fernando Rd & Avenue 32,Lane,423,180,243,6,3,358,157,201,3,3,65,23,42,3,0,126,13,113,19,3,88,86,7,79,17,2,54,40,6,34,2,1,34,8,0,8,7,0,2,6,0,6,5,0,2,2,0,2,2,0,0,4,0,4,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,34.115284,-118.245211
23-24,Foothill Blvd,Oro Vista Ave,Eldora Ave,Foothill Blvd bw Oro Vista Ave & Eldora Ave,Lane,289,63,226,2,6,167,37,130,2,5,122,26,96,0,1,32,3,29,6,0,25,17,0,17,5,0,11,15,3,12,1,0,14,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,34.259701,-118.315513
23-41,Glenoaks Blvd,Van Nuys Blvd,Mercer St,Glenoaks Blvd bw Van Nuys Blvd & Mercer St,Path,155,24,131,1,7,113,15,98,1,1,42,9,33,0,6,37,0,37,26,4,3,27,0,27,19,4,3,10,0,10,7,0,0,5,2,3,2,2,1,4,2,2,2,2,0,1,0,1,0,0,1,2,0,2,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,34.274381,-118.412429
23-25,Grand Ave,7th St,8th St,Grand Ave bw 7th St & 8th St,Protected Lane,2442,870,1572,4,11,2407,853,1554,4,11,35,17,18,0,0,128,5,123,31,17,42,125,5,120,29,17,42,3,0,3,2,0,0,71,7,64,22,14,4,70,7,63,22,13,4,1,0,1,0,1,0,29,0,29,25,3,2,29,0,29,24,1,2,0,0,0,0,0,0,34.047028,-118.25695
23-26,Griffith Park Ave,Fernwood Ave,Silverado Dr,Griffith Park Ave bw Fernwood Ave & Silverado Dr,Lane,257,123,134,0,10,188,89,99,0,9,69,34,35,0,1,129,24,105,0,1,23,98,19,79,0,1,0,31,5,26,0,0,23,10,2,8,0,0,4,9,2,7,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23-27,Heliotrope Dr,Rosewood Ave,Melrose Ave,Heliotrope Dr bw Rosewood Ave & Melrose Ave,Lane,266,115,151,1,5,185,82,103,0,3,81,33,48,1,2,43,5,38,3,1,29,32,2,30,3,1,25,11,3,8,0,0,4,10,3,7,0,0,1,7,3,4,0,0,0,3,0,3,0,0,1,9,0,9,0,4,5,8,0,8,0,0,4,1,0,1,0,0,1,34.082717,-118.295365
23-28,Hollywood Bl,Highland Av,Orange Dr,Hollywood Bl bw Highland Av & Orange Dr,None,15152,5785,9367,36,144,11005,5273,5732,29,74,4147,512,3635,7,70,118,11,107,45,4,32,95,7,88,39,3,26,23,4,19,6,1,6,35,10,25,20,2,4,26,7,19,18,2,3,9,3,6,2,0,1,52,2,50,34,2,15,39,2,37,34,0,2,13,0,13,11,1,0,34.10157,-118.339803
23-29,Hoover St,Manchester Ave,85th St,Hoover St bw Manchester Ave & 85th St,Route,722,420,302,5,25,606,359,247,2,23,116,61,55,3,2,81,11,70,62,7,5,63,6,57,47,6,5,18,5,13,15,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,12,1,11,9,0,3,9,1,8,9,0,0,3,0,3,3,0,0,33.960516,-118.287113
23-30,Jefferson Blvd,Vermont Ave,Catalina St,Jefferson Blvd bw Vermont Ave & Catalina St,None,566,275,291,2,10,467,224,243,2,8,99,51,48,0,2,211,36,175,116,5,8,180,27,153,100,4,0,31,9,22,16,1,8,105,16,89,81,5,6,87,12,75,71,5,4,18,4,14,10,0,2,50,5,45,42,0,4,46,5,41,42,0,0,4,0,4,3,0,0,34.025522,-118.292151
23-31,La Brea Ave,Pico Bl,Venice Bl,La Brea Ave bw Pico Bl & Venice Bl,None,343,125,218,0,4,263,100,163,0,3,80,25,55,0,1,59,6,53,44,2,15,45,5,40,34,1,11,14,1,13,10,1,4,11,1,10,10,0,2,10,1,9,9,0,2,1,0,1,1,0,0,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,34.047632,-118.344781
23-32,Lankershim Blvd,Oxnard St,Erwin St,Lankershim Blvd bw Oxnard St & Erwin St,Lane,325,75,250,0,13,241,61,180,0,10,84,14,70,0,3,96,2,94,49,8,15,77,1,76,35,8,13,19,1,18,14,0,2,19,3,16,8,2,3,14,3,11,4,2,1,5,0,5,4,0,2,8,0,8,6,1,2,6,0,6,5,1,0,2,0,2,2,0,0,34.180028,-118.383745
23-33,Lincoln Blvd,Venice Bl,Lucille Av,Lincoln Blvd bw Venice Bl & Lucille Av,None,312,60,252,0,3,258,52,206,0,3,54,8,46,0,0,125,8,117,75,1,31,103,4,99,66,1,29,22,4,18,9,0,2,16,0,16,9,0,0,14,0,14,9,0,0,2,0,2,0,0,0,8,2,6,8,0,0,8,2,6,8,0,0,0,0,0,0,0,0,33.99427,-118.453227
23-34,Los Angeles St,Arcadia St,Aliso St,Los Angeles St bw Arcadia St & Aliso St,Buffered Lane,665,228,437,2,6,539,177,362,1,1,126,51,75,1,5,110,13,97,22,12,24,93,11,82,19,10,21,17,2,15,3,2,3,27,2,25,6,0,3,21,0,21,4,0,3,6,2,4,2,0,0,23,0,23,4,3,5,21,0,21,4,0,3,2,0,2,2,0,0,34.05515,-118.239232
